소재지,가맹점번호,가맹점명,세부주소
성남시분당구,16339194,(주)아이디커뮤니케이션,경기  성남시  분당구  정자동
성남시분당구,16725442,썬플라워,경기  성남시  분당구  서현동
성남시분당구,16821514,낙생농업협동조합,경기  성남시  분당구  판교동
성남시분당구,16989170,마라가,경기  성남시  분당구  율동
성남시분당구,17410119,시스엔컴,경기  성남시  분당구  야탑동
성남시분당구,17488834,(주)동양메디칼,경기  성남시  분당구  금곡동
성남시분당구,17540923,노희정헤어노블,경기  성남시  분당구  수내동
성남시분당구,18466888,골드라인,경기  성남시  분당구  구미동
성남시분당구,18522433,OK텔레콤,경기  성남시  분당구  구미동
성남시분당구,18522763,이석만치과,경기  성남시  분당구  구미동
성남시분당구,18529313,주식회사개성상인,경기 성남시 분당구 판교역로
성남시분당구,18717165,동트는마을,경기  성남시  분당구  서현동
성남시분당구,18772582,동아전기철물,경기  성남시  분당구  서현동
성남시분당구,18901140,주민두레소비자생활협동조합,경기  성남시  분당구  정자동
성남시분당구,18925271,명동미용실,경기  성남시  분당구  수내동
성남시분당구,18947937,분당동점  굽네치킨,경기  성남시  분당구  분당동
성남시분당구,18979369,세미테크(주),경기  성남시  분당구  야탑동
성남시분당구,19108372,경아네분식,경기  성남시  분당구  정자동
성남시분당구,19465038,윤애영음악학원,경기  성남시  분당구  야탑동
성남시분당구,19486802,오아시스  상품권,경기  성남시  분당구  동원동
성남시분당구,19518273,그린슈퍼,경기  성남시  분당구  야탑동
성남시분당구,19621747,쌔근한놈,경기  성남시  분당구  서현동
성남시분당구,19683382,(주)하이큐시스템,경기  성남시  분당구  야탑동
성남시분당구,20111324,이니시스inicis.com,경기  성남시  분당구  대왕판교로
성남시분당구,20246344,소운정신과의원,경기  성남시  분당구  서현동
성남시분당구,20491494,LH구내매점,경기  성남시  분당구  구미동
성남시분당구,20548731,오성숙마취과의원,경기  성남시  분당구  수내동
성남시분당구,20769170,엘레강스사진실,경기  성남시  분당구  구미동
성남시분당구,21142385,성남판교동우체국,경기  성남시  분당구  판교동
성남시분당구,21144829,성남서현동우체국,경기  성남시  분당구  서현동
성남시분당구,21580584,금강골프연습장,경기  성남시  분당구  이매동
성남시분당구,22057905,대양참치,경기  성남시  분당구  수내동
성남시분당구,22094262,도남기획,경기 성남시 분당구 구미동
성남시분당구,22346001,동성,경기  성남시  분당구  분당동
성남시분당구,22419055,꽃이야기,경기  성남시  분당구  금곡동
성남시분당구,22561682,영재원,경기  성남시  분당구  삼평동
성남시분당구,22884670,한국엠에스씨소프트웨어<주>,경기  성남시  분당구  서현동
성남시분당구,23346240,이즈미,경기  성남시  분당구  수내동
성남시분당구,23356553,프랑크프로보,경기  성남시  분당구  금곡동
성남시분당구,23563281,장안체육관,경기  성남시  분당구  이매동
성남시분당구,24087272,임천,경기  성남시  분당구  수내동
성남시분당구,24138349,미래슈퍼,경기  성남시  분당구  서현동
성남시분당구,24529703,경기30바6131,경기  성남시  분당구  정자동
성남시분당구,24561532,"신일외국어,보습예그린미술음악학원",경기  성남시  분당구  야탑동
성남시분당구,24626921,국민세무회계컨설팅,경기  성남시  분당구  서현동
성남시분당구,24666331,토피아에듀케이션(주),경기 성남시 분당구 금곡동
성남시분당구,24929028,컴퓨터플라자,경기  성남시  분당구  서현동
