"district","store_number","store_name","address","latitude","longitude","store_type","navermap_link"
"성남시분당구","1871516","신환기업","경기  성남시  분당구  수내동","0x1.2b00fadf2ecf2p5","0x1.fc78d87a7ff8ep6","",""
"성남시분당구","1966571","즐거운치과","경기 성남시 분당구 미금로 48,","0x1.2ab349cbfbec7p5","0x1.fc77561408cb8p6","병원,의원>치과",""
"성남시분당구","1991157","후박활어회","경기 성남시 분당구 분당로53번길 13,","0x1.2b12dee4fd454p5","0x1.fc7cb06232fbp6","",""
"성남시분당구","2622934","주식회사  자스텍","경기 성남시 분당구 판교로 242,","0x1.2b38211bd97a6p5","0x1.fc6786f120693p6","",""
"성남시분당구","2948768","(주)오르다코리아","경기 성남시 분당구 운중로 115,","0x1.2b22ef0ae5365p5","0x1.fc4dee63f649ap6","쇼핑,유통>유아,아동교재","http://www.orda.co.kr/"
"성남시분당구","2957488","(주)솜피","경기  성남시  분당구  삼평동","0x1.2b3fa6083ce56p5","0x1.fc772f5c0e1ddp6","",""
"성남시분당구","3156858","안경박사","경기  성남시  분당구  수내동","0x1.2b00fadf2ecf2p5","0x1.fc78d87a7ff8ep6","",""
"성남시분당구","3359015","세반안경","경기  성남시  분당구  수내동","0x1.2b00fadf2ecf2p5","0x1.fc78d87a7ff8ep6","",""
"성남시분당구","3494499","서울정보통신(주)","경기 성남시 분당구 성남대로 934,","0x1.2b4e2df5dc909p5","0x1.fc84670fd991dp6","",""
"성남시분당구","3526118","예본건강","경기  성남시  분당구  정자동","0x1.2ae43df52e14ep5","0x1.fc722a40456a7p6","",""
"성남시분당구","3620366","미래상사","경기 성남시 분당구 야탑로 28,","0x1.2b44fac0fbde3p5","0x1.fc7d08121d38fp6","협회,단체>화장품,미용",""
