■ 성남시 아동수당 지원 가능 가맹점 ,,,,,,
,,,(2018년 7월 기준),,,
소재지,가맹점번호,가맹점명,세부주소,,,
성남시분당구,0079884169,베리 제프 베이킹 스튜디오,"경기 성남시 분당구 판교역로14번길 16,",,,
성남시분당구,0079884268,파빌리온피아노교습소,"경기 성남시 분당구 성남대로 393,",,,
성남시분당구,0079884524,진진식당,"경기 성남시 분당구 서현로 375,",,,
성남시분당구,0079885216,노란문,경기 성남시 분당구 운중로146번길 15-4,,,
성남시분당구,0079887899,클럽밸런스5이매점,"경기 성남시 분당구 이매로 45,",,,
성남시분당구,0079888434,청솔태권도장,"경기 성남시 분당구 미금로 215,",,,
성남시분당구,0079892584,공차 백현점,"경기 성남시 분당구 판교역로10번길 10-6,",,,
성남시분당구,0079894804,417 STORY,"경기 성남시 분당구 정자일로 248,",,,
성남시분당구,0079897526,화이트캐슬,"경기 성남시 분당구 서현로210번길 16,",,,
성남시분당구,0079897617,플립러닝수학학원,"경기 성남시 분당구 야탑남로 14,",,,
성남시분당구,0079897641,헤어알렌느,"경기 성남시 분당구 돌마로 47,",,,
성남시분당구,0079897732,미가인테리어,"경기 성남시 분당구 성남대로 51,",,,
성남시분당구,0079899894,더 밸류 라운지,"경기 성남시 분당구 대왕판교로 670,",,,
성남시분당구,0079902045,뽕뜨락피자 서현점,"경기 성남시 분당구 중앙공원로31번길 42,",,,
성남시분당구,0079902151,아히(ahi) 디자인,"경기 성남시 분당구 느티로87번길 10-1,",,,
성남시분당구,0079902854,안데르센 과자점,"경기 성남시 분당구 정자일로 120,",,,
성남시분당구,0079902912,올스타어학원,"경기 성남시 분당구 운중로 253,",,,
성남시분당구,0079903035,실력의봄수학학원,"경기 성남시 분당구 돌마로 478,",,,
성남시분당구,0079903662,히스토리아역사교습소,"경기 성남시 분당구 장미로 101,",,,
성남시분당구,0079905188,나인약국,"경기 성남시 분당구 야탑로81번길 10,",,,
성남시분당구,0079906178,데 헤아 야탑점,"경기 성남시 분당구 벌말로 37,",,,
성남시분당구,0079908208,카페 노스,"경기 성남시 분당구 정자일로 197,",,,
성남시분당구,0079909149,이도스시,"경기 성남시 분당구 돌마로 73,",,,
성남시분당구,0079909750,주식회사 엘케이바이오,"경기 성남시 분당구 산운로160번길 16-4,",,,
성남시분당구,0079915294,스케치미술교습소,"경기 성남시 분당구 내정로31번길 7-9,",,,
성남시분당구,0079915302,양지마을가정식식당,"경기 성남시 분당구 내정로165번길 38,",,,
성남시분당구,0079915724,수헤드스파,"경기 성남시 분당구 서현로210번길 1,",,,
성남시분당구,0079917001,라파건강안마원,"경기 성남시 분당구 성남대로331번길 13,",,,
성남시분당구,0079917456,팝콘보습영어,"경기 성남시 분당구 정자일로 55,",,,
성남시분당구,0079917555,샤브가,"경기 성남시 분당구 황새울로342번길 11,",,,
성남시분당구,0079917654,명품조박사짬뽕짜장,"경기 성남시 분당구 동판교로 153,",,,
성남시분당구,0079917837,와룽,"경기 성남시 분당구 판교역로192번길 14-2,",,,
성남시분당구,0079918066,무명식당(주) 판교메리어트호텔점,"경기 성남시 분당구 판교역로192번길 12,",,,
성남시분당구,0079918603,(주) 스타네트웍스,"경기 성남시 분당구 판교로 697 ,",,,
성남시분당구,0079925301,김가네 야탑역점,"경기 성남시 분당구 성남대로925번길 37,",,,
성남시분당구,0079929261,가나사다리차,"경기 성남시 분당구 분당로263번길 13,",,,
성남시분당구,0079935680,씨드 (SEED),"경기 성남시 분당구 동판교로 59,",,,
성남시분당구,0079937736,치킨더샵,"경기 성남시 분당구 동판교로 122,",,,
성남시분당구,0079942058,투다리 미금점,"경기 성남시 분당구 돌마로 73,",,,
성남시분당구,0079943346,분당 네일몰,"경기 성남시 분당구 분당로53번길 9,",,,
성남시분당구,0079945689,밥상애 행복,경기 성남시 분당구 벌말로49번길 6,,,
성남시분당구,0079948360,봉마르셰,"경기 성남시 분당구 운중로225번길 48-12,",,,
성남시분당구,0079950234,매쓰토피아 주산.암산교습소,경기 성남시 분당구 돌마로90번길 4,,,
성남시분당구,0079951273,(주) 후니드 SKC&C 판교1점,"경기 성남시 분당구 판교로255번길 38,",,,
성남시분당구,0079951877,아테나,"경기 성남시 분당구 내정로165번길 38,",,,
성남시분당구,0079953360,홍대칼국수와족발,"경기 성남시 분당구 대왕판교로606번길 45,",,,
성남시분당구,0079955456,주식회사 제이와이제이 인터내셔널,"경기 성남시 분당구 성남대로 151,",,,
성남시분당구,0079955472,밍스가든,경기 성남시 분당구 분당로343번길 7,,,
성남시분당구,0079958542,한국통상,"경기 성남시 분당구 정자일로 1,",,,
성남시분당구,0079959474,신탕국물떡볶이 야탑점,"경기 성남시 분당구 장미로100번길 15-34,",,,
성남시분당구,0079959854,오리글로벌어학원,경기 성남시 분당구 성남대로 38,,,
성남시분당구,0079959870,멘토링영어학원,"경기 성남시 분당구 돌마로 478,",,,
성남시분당구,0079962528,(주)위닉스판교지점,경기 성남시 분당구 운중동,,,
성남시분당구,0079964672,주식회사 디에스솔루션즈,"경기 성남시 분당구 황새울로 307,",,,
성남시분당구,0079965794,와이디디 용두동 신 쭈꾸미,경기 성남시 분당구 야탑로105번길 16,,,
성남시분당구,0079967352,늘푸른약국,"경기 성남시 분당구 성남대로331번길 3-13,",,,
성남시분당구,0079968582,제시카키친서현점,"경기 성남시 분당구 서현로210번길 19,",,,
성남시분당구,0079968814,맑은샘경희한의원,"경기 성남시 분당구 동판교로 59,",,,
성남시분당구,0079970620,스팀세차장,경기 성남시 분당구 안양판교로1201번길 161,,,
성남시분당구,0079970745,피에이 (PA)슈노헤어살롱,"경기 성남시 분당구 분당로263번길 39,",,,
성남시분당구,0079973533,대운기룬 보습학원,"경기 성남시 분당구 정자일로156번길 11,",,,
성남시분당구,0079974028,분당햇살약국,"경기 성남시 분당구 성남대로 912,",,,
성남시분당구,0079974077,염병즉석떡볶이,경기 성남시 분당구 동판교로 92,,,
성남시분당구,0079979290,주식회사 젬앤컴퍼니,"경기 성남시 분당구 운중로 146,",,,
성남시분당구,0079983151,행자특수교육연구소,"경기 성남시 분당구 성남대로331번길 13,",,,
성남시분당구,0079985164,정인헤어마이스터,경기 성남시 분당구 미금로 43,,,
성남시분당구,0079986725,옥연S라인,"경기 성남시 분당구 운중로257번길 7-4,",,,
성남시분당구,0079987590,참좋은기획,"경기 성남시 분당구 동판교로 91,",,,
성남시분당구,0079988465,더하키샵,"경기 성남시 분당구 야탑로 32 ,",,,
성남시분당구,0079988499,조동기국어논술전문학원,"경기 성남시 분당구 돌마로 75,",,,
성남시분당구,0079989117,길갈흑돈,"경기 성남시 분당구 정자일로 162,",,,
성남시분당구,0079989273,지팡구화장품,경기 성남시 분당구 서현동,,,
성남시분당구,0079989356,재연비타민,"경기 성남시 분당구 운중로138번길 35,",,,
성남시분당구,0079989588,샹떼 PC방,"경기 성남시 분당구 판교역로192번길 22,",,,
성남시분당구,0079992533,장영수 한복이야기,"경기 성남시 분당구 성남대로 165,",,,
성남시분당구,0079996096,홈스타비즈,"경기 성남시 분당구 정자로 13,",,,
성남시분당구,0079997615,LS테크,"경기 성남시 분당구 불정로386번길 10 ,",,,
성남시분당구,0079999777,디자인하우스미술학원,"경기 성남시 분당구 돌마로 68,",,,
성남시분당구,0079999884,메콩타이,"경기 성남시 분당구 성남대로 151,",,,
성남시분당구,0080001563,크린토피아 분당구미청구점,"경기 성남시 분당구 무지개로 144,",,,
성남시분당구,0080001621,닥터후F&D,경기 성남시 분당구 중앙공원로39번길 49,,,
성남시분당구,0080002579,디백 (D100),"경기 성남시 분당구 성남대로 151,",,,
성남시분당구,0080010606,루스텅,"경기 성남시 분당구 대왕판교로 670,",,,
성남시분당구,0080012859,파크뷰명품세탁,경기 성남시 분당구 정자일로 248,,,
성남시분당구,0080012933,국선명상판교센타,경기 성남시 분당구 서판교로32번길 3-5,,,
성남시분당구,0080013113,리안헤어미금역2호점,"경기 성남시 분당구 정자일로 21,",,,
성남시분당구,0080013121,SM골프,"경기 성남시 분당구 분당로53번길 13,",,,
성남시분당구,0080018443,정민헤어,"경기 성남시 분당구 야탑로 239,",,,
성남시분당구,0080018609,아이스윗유(I SWEET YOU),"경기 성남시 분당구 정자일로 121,",,,
성남시분당구,0080018815,삼성분식,"경기 성남시 분당구 양현로 220,",,,
성남시분당구,0080019268,싱싱해산물포차,"경기 성남시 분당구 내정로11번길 6-3,",,,
성남시분당구,0080020258,밥정,"경기 성남시 분당구 판교로255번길 9-22,",,,
성남시분당구,0080021264,헥스온,"경기 성남시 분당구 서현로 170,",,,
성남시분당구,0080021520,주식회사 세이프티플러스,"경기 성남시 분당구 황새울로 234,",,,
성남시분당구,0080022130,생포탄,"경기 성남시 분당구 미금일로74번길 13-1,",,,
성남시분당구,0080022361,뮤직아이 음악교습소,"경기 성남시 분당구 미금로 215,",,,
성남시분당구,0080024953,(주)우리들휴브레인분당지점(신동엽의입시,경기 성남시 분당구 황새울로335번길 10,,,
성남시분당구,0080025323,구미동반찬가게,"경기 성남시 분당구 미금로 45,",,,
성남시분당구,0080026081,대구약품_이니시스,"경기 성남시 분당구 대왕판교로 660,",,,
성남시분당구,0080026123,삼원약품_이니시스,"경기 성남시 분당구 대왕판교로 660,",,,
성남시분당구,0080029796,타마시헤어,"경기 성남시 분당구 성남대로 165,",,,
성남시분당구,0080031438,정민헤어,"경기 성남시 분당구 장미로 198,",,,
성남시분당구,0080032311,구두,"경기 성남시 분당구 성남대로 151,",,,
성남시분당구,0080033392,혜선이떡볶이,"경기 성남시 분당구 판교역로192번길 14-2,",,,
성남시분당구,0080034564,옥손피부체형관리,경기 성남시 분당구 돌마로 361,,,
성남시분당구,0080034663,라이트포유(LIGHT FOR YOU),경기 성남시 분당구 대장동,,,
성남시분당구,0080035165,국어를 탐하다,"경기 성남시 분당구 판교역로14번길 20,",,,
성남시분당구,0080036304,(주)소명이엔지,"경기 성남시 분당구 야탑로 24,",,,
성남시분당구,0080036676,(주) 라온스포츠 분당지점,"경기 성남시 분당구 정자일로 55,",,,
성남시분당구,0080047301,불기둥,경기 성남시 분당구 장미로 42,,,
성남시분당구,0080051980,한돈 캠프,"경기 성남시 분당구 동막로 233,",,,
성남시분당구,0080052186,삼성특수렉카,"경기 성남시 분당구 장미로 78,",,,
성남시분당구,0080052384,PHS척추운동센터,경기 성남시 분당구 안골로48번길 5,,,
성남시분당구,0080052947,담소사골순대,"경기 성남시 분당구 성남대로 168,",,,
성남시분당구,0080054489,다원아트스튜디오,"경기 성남시 분당구 내정로 55,",,,
성남시분당구,0080060015,나나리빙텔,"경기 성남시 분당구 야탑로69번길 8,",,,
성남시분당구,0080060387,분당줄리어드음악학원,"경기 성남시 분당구 미금로 36,",,,
성남시분당구,0080061609,키즈플레이,경기 성남시 분당구 야탑로 251,,,
성남시분당구,0080061690,예돈,"경기 성남시 분당구 양현로94번길 11,",,,
성남시분당구,0080061724,썸(SOME),"경기 성남시 분당구 황새울로258번길 10-9,",,,
성남시분당구,0080063878,블리스 커피 (Bliss Coffee),"경기 성남시 분당구 황새울로342번길 11,",,,
성남시분당구,0080066145,박종호보습학원,경기 성남시 분당구 수내2동,,,
성남시분당구,0080066830,머리에봄,경기 성남시 분당구 동판교로52번길 19-17,,,
성남시분당구,0080067192,한국정보인증주식회사,"경기 성남시 분당구 판교로 242,",,,
성남시분당구,0080069420,밥상술상,"경기 성남시 분당구 분당로53번길 21,",,,
성남시분당구,0080070527,오크마운틴 야탑지점,"경기 성남시 분당구 성남대로925번길 16,",,,
성남시분당구,0080070691,샬롬돈까스(야탑직영점),"경기 성남시 분당구 야탑로161번길 8-4,",,,
성남시분당구,0080071582,르네셀퀸즈,"경기 성남시 분당구 서현로 204,",,,
성남시분당구,0080071707,팔팔대리점,"경기 성남시 분당구 운중로113번길 12-2,",,,
성남시분당구,0080072093,할매순대국,경기 성남시 분당구 황새울로258번길 10-7,,,
성남시분당구,0080076185,홍대교동짬뽕,"경기 성남시 분당구 판교역로 235,",,,
성남시분당구,0080083512,(주) 후니드 SKC&C 판교2점,"경기 성남시 분당구 판교로255번길 38,",,,
성남시분당구,0080083652,브레드 팩토리 망캄,"경기 성남시 분당구 중앙공원로40번길 42,",,,
성남시분당구,0080085665,주식회사 블룸즈베리,"경기 성남시 분당구 장미로 78,",,,
성남시분당구,0080087257,소울브릿지,"경기 성남시 분당구 정자일로213번길 5,",,,
성남시분당구,0080087976,모모코,"경기 성남시 분당구 정자일로 197,",,,
성남시분당구,0080088180,JS킹호텔웨딩,"경기 성남시 분당구 돌마로 67,",,,
성남시분당구,0080091689,모란식품,"경기 성남시 분당구 돌마로 906,",,,
성남시분당구,0080092703,행운에어컨,경기 성남시 분당구 야탑동,,,
성남시분당구,0080092810,은나무,"경기 성남시 분당구 정자일로 121,",,,
성남시분당구,0080093990,동네싸우나맛사지,경기 성남시 분당구 무지개로 144,,,
성남시분당구,0080094501,(주)에스앤에스컴퍼니 분당미금점,경기 성남시 분당구 성남대로 151,,,
성남시분당구,0080095961,릴렉스&쾌통 마사지,"경기 성남시 분당구 구미로9번길 16,",,,
성남시분당구,0080096860,원 그릴드,"경기 성남시 분당구 대왕판교로 660,",,,
성남시분당구,0080098478,어니스트 동물병원,"경기 성남시 분당구 운중로113번길 12-5,",,,
성남시분당구,0080099435,숯불재벌장어,"경기 성남시 분당구 대왕판교로 660,",,,
성남시분당구,0080100944,준 오토 디테일 센터 (June Auto Detail Ce,"경기 성남시 분당구 불정로420번길 42,",,,
성남시분당구,0080101017,설국,"경기 성남시 분당구 불정로77번길 4-7,",,,
성남시분당구,0080101421,마음공간 아동 청소년 상담센타,"경기 성남시 분당구 분당내곡로 159,",,,
성남시분당구,0080101496,과자킹,"경기 성남시 분당구 분당로53번길 19,",,,
성남시분당구,0080101769,케이스영어학원,"경기 성남시 분당구 운중로243번길 14,",,,
성남시분당구,0080102080,마리앤케익,"경기 성남시 분당구 정자일로 27,",,,
성남시분당구,0080102411,바르다 김선생 미금역점,"경기 성남시 분당구 돌마로 51,",,,
성남시분당구,0080103385,비틀즈,"경기 성남시 분당구 수내로 201,",,,
성남시분당구,0080105398,한국무교교단옥황신당,"경기 성남시 분당구 서현로 170,",,,
성남시분당구,0080105638,신통치킨,"경기 성남시 분당구 성남대로172번길 12,",,,
성남시분당구,0080105778,엘림과일,"경기 성남시 분당구 미금로 66,",,,
성남시분당구,0080105836,로쉬,"경기 성남시 분당구 황새울로360번길 35,",,,
성남시분당구,0080107014,(주)우경이엠씨,"경기 성남시 분당구 야탑로69번길 18,",,,
성남시분당구,0080112329,대통삼,"경기 성남시 분당구 서현로210번길 10,",,,
성남시분당구,0080113277,수학의2문관수학교습소,"경기 성남시 분당구 중앙공원로31번길 42,",,,
성남시분당구,0080115017,라비에즈,"경기 성남시 분당구 정자일로 220,",,,
성남시분당구,0080116171,하우스 스토리,"경기 성남시 분당구 성남대로762번길 1,",,,
성남시분당구,0080118995,키스톤어학원,"경기 성남시 분당구 동판교로 61,",,,
성남시분당구,0080120082,민들레,"경기 성남시 분당구 미금로 45,",,,
성남시분당구,0080120132,세무법인 지오 분당지점,"경기 성남시 분당구 수내로46번길 11,",,,
성남시분당구,0080122724,스시 앤 회,"경기 성남시 분당구 정자일로 25,",,,
성남시분당구,0080122781,돈꿈이야,"경기 성남시 분당구 정자일로6번길 13,",,,
성남시분당구,0080122906,판교디지털센터관리단,경기 성남시 분당구 판교로 242,,,
성남시분당구,0080123268,대림아크로텔관리단,경기 성남시 분당구 성남대로 295,,,
성남시분당구,0080123904,씽씽철판,"경기 성남시 분당구 판교역로192번길 14-1,",,,
성남시분당구,0080124506,네일앤코,"경기 성남시 분당구 분당로53번길 21,",,,
성남시분당구,0080124860,VJ포스,"경기 성남시 분당구 판교로 431,",,,
성남시분당구,0080131295,크린토피아,경기 성남시 분당구 장안로56번길 22,,,
성남시분당구,0080134430,펠리체골드,"경기 성남시 분당구 성남대로 151,",,,
성남시분당구,0080138050,슈슈 앤 크라,"경기 성남시 분당구 동판교로 59,",,,
성남시분당구,0080138290,스타시티보드카페,"경기 성남시 분당구 정자일로 192,",,,
성남시분당구,0080138514,헤어팜팜,"경기 성남시 분당구 매화로55번길 5,",,,
성남시분당구,0080139645,쿠레레하우스,"경기 성남시 분당구 동판교로52번길 13-8,",,,
성남시분당구,0080142508,마리 (MARI),경기 성남시 분당구 돌마로 80,,,
성남시분당구,0080143639,나나헤어,"경기 성남시 분당구 돌마로366번길 40,",,,
성남시분당구,0080144108,웰시아이 (Wealthy),"경기 성남시 분당구 정자일로 197,",,,
성남시분당구,0080144298,후이공사,"경기 성남시 분당구 장미로 86,",,,
성남시분당구,0080145667,골프친구 골프랜드,경기 성남시 분당구 대왕판교로 31,,,
성남시분당구,0080154966,고대생막창,"경기 성남시 분당구 판교역로241번길 22,",,,
성남시분당구,0080155393,히까루,"경기 성남시 분당구 정자일로 197,",,,
성남시분당구,0080155468,제이앤에이치라인,"경기 성남시 분당구 성남대로 295,",,,
성남시분당구,0080155955,애플독서실,"경기 성남시 분당구 야탑남로15번길 15,",,,
성남시분당구,0080157969,신우건축,"경기 성남시 분당구 정자일로213번길 19,",,,
성남시분당구,0080159247,이네스,"경기 성남시 분당구 대왕판교로606번길 58,",,,
성남시분당구,0080159445,바르다김선생 분당정자신기점,"경기 성남시 분당구 내정로 29,",,,
성남시분당구,0080161409,매그넷어학원,"경기 성남시 분당구 정자일로 234,",,,
성남시분당구,0080163991,쌤학원,"경기 성남시 분당구 동판교로 92,",,,
성남시분당구,0080165798,윤선생영어교실,"경기 성남시 분당구 이매로 13,",,,
성남시분당구,0080169063,무지개마을 육고간,"경기 성남시 분당구 구미로 60,",,,
성남시분당구,0080174790,치킨빡스,경기 성남시 분당구 내정로7번길 10-1,,,
성남시분당구,0080175102,한일씨엠,"경기 성남시 분당구 야탑로153번길 4-14,",,,
성남시분당구,0080177520,크레이지카. 드리프트,"경기 성남시 분당구 동판교로 91,",,,
성남시분당구,0080177587,가마로강정 느티마을점,"경기 성남시 분당구 느티로77번길 3,",,,
성남시분당구,0080177611,크린토피아 파크점,"경기 성남시 분당구 내정로174번길 42,",,,
성남시분당구,0080177736,신타헤어,"경기 성남시 분당구 구미로 143,",,,
성남시분당구,0080177785,수&토라인,"경기 성남시 분당구 운중로125번길 3-3,",,,
성남시분당구,0080181597,더페이스샵,"경기 성남시 분당구 서현로210번길 14,",,,
성남시분당구,0080184385,아미고 웰빙스킨앤바디,"경기 성남시 분당구 장미로48번길 14,",,,
성남시분당구,0080187172,백패커스라운지,"경기 성남시 분당구 판교역로18번길 6,",,,
성남시분당구,0080187263,골프 프랜드 골때려 골프 미금 수지점,경기 성남시 분당구 대왕판교로 31,,,
성남시분당구,0080187354,인형극단 하늘꿈,경기 성남시 분당구 구미동,,,
성남시분당구,0080192065,펀 비어킹,"경기 성남시 분당구 돌마로 75,",,,
성남시분당구,0080192206,요거프레소(서현점),"경기 성남시 분당구 황새울로342번길 11,",,,
성남시분당구,0080192438,스토리,"경기 성남시 분당구 내정로165번길 38,",,,
성남시분당구,0080195167,SBS당구장,"경기 성남시 분당구 백현로101번길 17,",,,
성남시분당구,0080195530,주식회사 설빙서현점,"경기 성남시 분당구 서현로 192,",,,
성남시분당구,0080197270,라이프스토리 주식회사,"경기 성남시 분당구 대왕판교로 660,",,,
성남시분당구,0080198005,작은공간,"경기 성남시 분당구 내정로165번길 38,",,,
성남시분당구,0080201015,이매고등학교 구내매점,경기 성남시 분당구 탄천로 1,,,
성남시분당구,0080201098,미금 상구비어,경기 성남시 분당구 성남대로144번길 18-6,,,
성남시분당구,0080203581,캘러웨이 판교점,"경기 성남시 분당구 대왕판교로 370,",,,
성남시분당구,0080204241,커스텀 핏 (Custon fit),"경기 성남시 분당구 운중로 123,",,,
성남시분당구,0080204407,분당레지던스,"경기 성남시 분당구 이매로 15,",,,
성남시분당구,0080208663,다스칼리데스 쇼콜라티에,"경기 성남시 분당구 대왕판교로 660,",,,
성남시분당구,0080209380,분당랍스터,경기 성남시 분당구 운중로138번길 34,,,
성남시분당구,0080209596,커피미학 (주) 분당점,"경기 성남시 분당구 안골로 60,",,,
성남시분당구,0080210305,내가사께,"경기 성남시 분당구 구미로 16,",,,
성남시분당구,0080211550,뒤나미스,"경기 성남시 분당구 동판교로 153,",,,
성남시분당구,0080211642,참진국어,"경기 성남시 분당구 정자일로 100,",,,
성남시분당구,0080212848,체형교정원,"경기 성남시 분당구 백현로101번길 16,",,,
성남시분당구,0080213747,제일입시학원,경기 성남시 분당구 이매동,,,
성남시분당구,0080214315,리본필라테스,"경기 성남시 분당구 판교역로192번길 16,",,,
성남시분당구,0080214661,코코이찌방야 분당정자점,"경기 성남시 분당구 성남대로 381,",,,
성남시분당구,0080216260,주식회사 지음,"경기 성남시 분당구 대왕판교로 670,",,,
성남시분당구,0080218183,통큰낙지,"경기 성남시 분당구 판교로255번길 9-22,",,,
성남시분당구,0080221054,건영사우나,"경기 성남시 분당구 장안로25번길 28,",,,
성남시분당구,0080222144,트루뷰티,"경기 성남시 분당구 운중로 131,",,,
성남시분당구,0080229859,끌리지,"경기 성남시 분당구 대왕판교로606번길 39,",,,
성남시분당구,0080231517,원키친,"경기 성남시 분당구 서현로 184,",,,
성남시분당구,0080235013,대치명인학원,"경기 성남시 분당구 돌마로 86,",,,
성남시분당구,0080236789,별관대치명인학원,"경기 성남시 분당구 돌마로 86,",,,
성남시분당구,0080238108,1:1요가,"경기 성남시 분당구 내정로166번길 43,",,,
성남시분당구,0080238256,채민르네셀,"경기 성남시 분당구 성남대로926번길 12,",,,
성남시분당구,0080239726,아이원인테리어,"경기 성남시 분당구 서현로 170,",,,
성남시분당구,0080240559,크레용헤어,"경기 성남시 분당구 운중로 115,",,,
성남시분당구,0080247331,아초원,"경기 성남시 분당구 하오개로 337,",,,
성남시분당구,0080247398,키친제이,경기 성남시 분당구 정자일로 197,,,
성남시분당구,0080247497,열혈쌤의 수학교습소,경기 성남시 분당구 구미로 60,,,
성남시분당구,0080247513,명일사,"경기 성남시 분당구 내정로173번길 11,",,,
성남시분당구,0080247653,다선인,"경기 성남시 분당구 서현로 170,",,,
성남시분당구,0080248115,Dr. 장's필라테스,"경기 성남시 분당구 성남대로 165,",,,
성남시분당구,0080249709,오감미술교습소,"경기 성남시 분당구 동판교로 212,",,,
성남시분당구,0080251895,협동조합 목화토금수,"경기 성남시 분당구 성남대로779번길 54,",,,
성남시분당구,0080256324,세이블라인드,"경기 성남시 분당구 양현로 539,",,,
성남시분당구,0080261357,카페 에이원헌드레드(Cafe A10),"경기 성남시 분당구 판교로255번길 9-22,",,,
성남시분당구,0080262553,조안 헤어,"경기 성남시 분당구 구미로 115,",,,
성남시분당구,0080266026,샤인의원,"경기 성남시 분당구 분당로53번길 9,",,,
성남시분당구,0080269020,해피분당미소총판,"경기 성남시 분당구 금곡로23번길 11,",,,
성남시분당구,0080270614,코와제약_이니시스,"경기 성남시 분당구 대왕판교로 660,",,,
성남시분당구,0080270663,한올바이오_이니시스,"경기 성남시 분당구 대왕판교로 660,",,,
성남시분당구,0080271349,카라,"경기 성남시 분당구 내정로165번길 38,",,,
성남시분당구,0080275068,아일가든 (Aisle Garden),"경기 성남시 분당구 수내로 74,",,,
성남시분당구,0080284565,장호헤어,"경기 성남시 분당구 판교역로192번길 22,",,,
성남시분당구,0080284789,대호실업,"경기 성남시 분당구 불정로 170,",,,
성남시분당구,0080289135,분당오리멀티전자담배,경기 성남시 분당구 성남대로 52,,,
성남시분당구,0080289747,모나리자,경기 성남시 분당구 백현로144번길 27,,,
성남시분당구,0080291115,본스치킨판교테크노점,"경기 성남시 분당구 대왕판교로 670,",,,
성남시분당구,0080291933,무지개사우나,"경기 성남시 분당구 무지개로 144,",,,
성남시분당구,0080292154,신세종세탁,"경기 성남시 분당구 구미로9번길 8,",,,
성남시분당구,0080292907,주식회사 영진유통,"경기 성남시 분당구 이매로 13,",,,
성남시분당구,0080296643,우리들휴브레인 (주) 판교지점,"경기 성남시 분당구 판교역로192번길 12,",,,
성남시분당구,0080307200,연당서예교습소,"경기 성남시 분당구 운중로 233,",,,
성남시분당구,0080307861,커피디엔에이로스팅 컴퍼니,"경기 성남시 분당구 불곡남로14번길 1,",,,
성남시분당구,0080309115,유앤아이약국,"경기 성남시 분당구 대왕판교로 660,",,,
성남시분당구,0080311632,어다리 횟집 정자점,"경기 성남시 분당구 성남대로331번길 13,",,,
성남시분당구,0080314354,리아트미술학원,"경기 성남시 분당구 정자일로 55,",,,
성남시분당구,0080319783,이디야 (구미점),"경기 성남시 분당구 미금로 39,",,,
성남시분당구,0080320328,(주) 케이앤시정보통신,"경기 성남시 분당구 백현로144번길 24,",,,
성남시분당구,0080320690,행화촌,"경기 성남시 분당구 정자일로 46,",,,
성남시분당구,0080321813,나무목공방,경기 성남시 분당구 금곡로23번길 3,,,
성남시분당구,0080322274,주식회사 하이메딕,"경기 성남시 분당구 탄천상로 164 ,",,,
성남시분당구,0080324999,토핑마루,"경기 성남시 분당구 성남대로331번길 8,",,,
성남시분당구,0080325111,테이스티나인,"경기 성남시 분당구 운중로225번길 8-7,",,,
성남시분당구,0080325764,온리쏭,경기 성남시 분당구 서현동,,,
성남시분당구,0080326176,금호세탁소,경기 성남시 분당구 수내1동,,,
성남시분당구,0080328396,동신세탁소,경기  성남시  분당구  양현로166번길,,,
성남시분당구,0080328461,고향보리밥,경기  성남시  분당구  돌마로486번길,,,
성남시분당구,0080330657,정세원치과의원,"경기 성남시 분당구 내정로173번길 11,",,,
성남시분당구,0080330731,주식회사 줄리아,"경기 성남시 분당구 정자일로 240,",,,
성남시분당구,0080330772,(주) 넥스트레벨 코퍼레이션 분당점,"경기 성남시 분당구 야탑로105번길 7,",,,
성남시분당구,0080330970,라비뉴,"경기 성남시 분당구 정자일로 220,",,,
성남시분당구,0080331044,삼호상사,"경기 성남시 분당구 구미로 60,",,,
성남시분당구,0080332802,주식회사 아르테 산후조리원,"경기 성남시 분당구 구미로9번길 7,",,,
성남시분당구,0080338031,나무,"경기 성남시 분당구 정자일로 197,",,,
성남시분당구,0080338346,막썰어회집,"경기 성남시 분당구 성남대로926번길 20,",,,
성남시분당구,0080338411,(주)은경푸드 바푸리포 분당서현점,"경기 성남시 분당구 황새울로335번길 5,",,,
성남시분당구,0080342660,판교애비뉴프랑앳코너,"경기 성남시 분당구 동판교로177번길 25,",,,
성남시분당구,0080343072,미스터쭝해물갈비찜,"경기 성남시 분당구 돌마로 478,",,,
성남시분당구,0080346760,지혜의숲보습학원,"경기 성남시 분당구 정자일로 25,",,,
성남시분당구,0080349871,수수도예,"경기 성남시 분당구 불정로87번길 10,",,,
성남시분당구,0080357809,버니블루 분당오리점,"경기 성남시 분당구 탄천상로151번길 20,",,,
성남시분당구,0080360167,호프호프,"경기 성남시 분당구 성남대로 51,",,,
성남시분당구,0080364144,샤론피아노음악교습소,"경기 성남시 분당구 동판교로 92,",,,
성남시분당구,0080366685,맥주한잔,"경기 성남시 분당구 운중로 146,",,,
성남시분당구,0080368418,뮤직박스,"경기 성남시 분당구 수내로46번길 11,",,,
성남시분당구,0080368566,데일리,"경기 성남시 분당구 구미로75번길 11,",,,
성남시분당구,0080368707,앱픽스코리아 (APPFIX-KOREA),"경기 성남시 분당구 판교역로192번길 16,",,,
성남시분당구,0080370869,너를위한특별한수학원,"경기 성남시 분당구 돌마로 86,",,,
성남시분당구,0080371560,참좋은 모유수유,"경기 성남시 분당구 탄천로 59,",,,
성남시분당구,0080372535,도쿄팡야 미금역점,"경기 성남시 분당구 성남대로 151,",,,
성남시분당구,0080375389,니콜피아,"경기 성남시 분당구 성남대로916번길 5,",,,
